Title,Link,Remote Testing,Adaptive/IRT,Duration (In Minutes),Test Keys,ID,Test Type,text_for_embedding
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,8.0,K,122,Knowledge,"Fundamentals of Physics (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,Yes,No,5.0,K,123,Knowledge,"General Diseases (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,10.0,K,124,Knowledge,"Geoinformatics Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,8.0,K,125,Knowledge,"Geoscience Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,Yes,No,13.0,K,126,Knowledge,"GIT (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,16.0,"C, K",127,"Cognitive, Knowledge","Global Skills Assessment - Cognitive, Knowledge. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,,B,128,Behavior,"Graduate Scenarios - Behavior. Remote: Yes, Adaptive: No, Duration: nan mins."
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,,B,129,Behavior,"Graduate Scenarios Narrative Report - Behavior. Remote: Yes, Adaptive: No, Duration: nan mins."
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,,B,130,Behavior,"Graduate Scenarios Profile Report - Behavior. Remote: Yes, Adaptive: No, Duration: nan mins."
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,Yes,No,5.0,K,131,Knowledge,"Hibernate (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,15.0,K,132,Knowledge,"HIPAA (Security) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 15.0 mins."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,,"C, P",133,"Cognitive, Personality","HiPo Assessment Report 1.0 - Cognitive, Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,,"C, P",134,"Cognitive, Personality","HiPo Assessment Report 2.0 - Cognitive, Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,,C,135,Cognitive,"HiPo Unlocking Potential Report 2.0 - Cognitive. Remote: Yes, Adaptive: No, Duration: nan mins."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,7.0,K,136,Knowledge,"Housekeeping (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,12.0,K,137,Knowledge,"HTML/CSS (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,11.0,K,138,Knowledge,"HTML5 (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,8.0,K,139,Knowledge,"Human Resources (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,15.0,K,140,Knowledge,"IBM DataStage (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 15.0 mins."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,13.0,K,141,Knowledge,"IBM Sterling Order Management System (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,9.0,K,142,Knowledge,"Industrial Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,10.0,K,143,Knowledge,"Informatica (Architecture) (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,11.0,K,144,Knowledge,"Informatica (Developer) (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,12.0,K,145,Knowledge,"Instrumentation Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,15.0,K,146,Knowledge,"Interpersonal Communications - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 15.0 mins."
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,15.0,K,147,Knowledge,"Interviewing and Hiring Concepts (U.S.) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 15.0 mins."
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,Yes,No,7.0,K,148,Knowledge,"iOS Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,8.0,K,149,Knowledge,"ITIL (IT Infrastructure Library) (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,30.0,K,150,Knowledge,"Java 2 Platform Enterprise Edition 1.4 Fundamental - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 30.0 mins."
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,No,18.0,K,151,Knowledge,"Java 8 (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 18.0 mins."
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,5.0,K,152,Knowledge,"Java Design Patterns (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,17.0,K,153,Knowledge,"Java Frameworks (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 17.0 mins."
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,30.0,K,154,Knowledge,"Java Platform Enterprise Edition 7 (Java EE 7) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 30.0 mins."
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,8.0,K,155,Knowledge,"Java Web Services (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,No,9.0,K,156,Knowledge,"JavaScript (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,35.0,K,157,Knowledge,"Microsoft Windows Server 2012 Administration - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 35.0 mins."
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,25.0,"K, S",158,"Knowledge, Situational","Microsoft Word 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,35.0,"S, K",159,"Situational, Knowledge","Microsoft Word 365 (New) - Situational, Knowledge. Remote: Yes, Adaptive: No, Duration: 35.0 mins."
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,12.0,K,160,Knowledge,"Mineral Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,16.0,K,161,Knowledge,"Mining Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,Yes,No,9.0,K,162,Knowledge,"Mobility (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,6.0,K,163,Knowledge,"Molecular Biology (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,Yes,No,7.0,K,164,Knowledge,"MongoDB (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,25.0,P,165,Personality,"Motivation Questionnaire MQM5 - Personality. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,,P,166,Personality,"MQ Candidate Motivation Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,,P,167,Personality,"MQ Employee Motivation Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,,P,168,Personality,"MQ Motivation Report Pack - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Yes,No,10.0,K,169,Knowledge,"Manual Testing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,49.0,"A, P",170,"Abilities, Personality","Manufac. & Indust. - Mechanical & Vigilance 8.0 - Abilities, Personality. Remote: Yes, Adaptive: No, Duration: 49.0 mins."
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,16.0,P,171,Personality,"Manufac. & Indust. - Safety & Dependability 8.0 - Personality. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,No,16.0,P,172,Personality,"Manufacturing & Industrial - Essential Focus 8.0 - Personality. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,31.0,"A, P",173,"Abilities, Personality","Manufacturing & Industrial - Mechanical Focus 8.0 - Abilities, Personality. Remote: Yes, Adaptive: No, Duration: 31.0 mins."
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,34.0,"A, P",174,"Abilities, Personality","Manufacturing & Industrial - Vigilance Focus 8.0 - Abilities, Personality. Remote: Yes, Adaptive: No, Duration: 34.0 mins."
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,Yes,No,9.0,K,175,Knowledge,"Marketing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,Yes,No,7.0,K,176,Knowledge,"Maven (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,No,7.0,K,177,Knowledge,"Mechanical Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,19.0,K,178,Knowledge,"Mechatronics Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 19.0 mins."
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,Yes,No,3.0,K,179,Knowledge,"Medical Terminology (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 3.0 mins."
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,10.0,K,180,Knowledge,"Metallurgical Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,,D,181,D,"MFS 360 Enterprise Leadership Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,,D,182,D,"MFS 360 UCF Group Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,,D,183,D,"MFS 360 UCF Performance Potential Dev Tips Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,,D,184,D,"MFS 360 UCF Standard Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,12.0,K,185,Knowledge,"Micro Focus Unified Functional Testing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,Yes,No,7.0,K,186,Knowledge,"Microservices (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,9.0,K,187,Knowledge,"Microsoft Dynamics Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,30.0,"K, S",188,"Knowledge, Situational","Microsoft Excel 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,35.0,"K, S",189,"Knowledge, Situational","Microsoft Excel 365 (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 35.0 mins."
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,25.0,K,190,Knowledge,"Microsoft Outlook 2013 (adaptive) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 25.0 mins."
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,25.0,"K, S",191,"Knowledge, Situational","Microsoft PowerPoint 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,35.0,K,192,Knowledge,"Microsoft SQL Server 2014 Programming - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 35.0 mins."
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,35.0,K,193,Knowledge,"Microsoft Windows Server 2012 Administration - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 35.0 mins."
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,25.0,"K, S",194,"Knowledge, Situational","Microsoft Word 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,35.0,"S, K",195,"Situational, Knowledge","Microsoft Word 365 (New) - Situational, Knowledge. Remote: Yes, Adaptive: No, Duration: 35.0 mins."
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,12.0,K,196,Knowledge,"Mineral Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,16.0,K,197,Knowledge,"Mining Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,Yes,No,9.0,K,198,Knowledge,"Mobility (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,6.0,K,199,Knowledge,"Molecular Biology (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,Yes,No,7.0,K,200,Knowledge,"MongoDB (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,25.0,P,201,Personality,"Motivation Questionnaire MQM5 - Personality. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,,P,202,Personality,"MQ Candidate Motivation Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,,P,203,Personality,"MQ Employee Motivation Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,,P,204,Personality,"MQ Motivation Report Pack - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,Yes,No,,P,205,Personality,"MQ Profile - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,Yes,No,7.0,K,206,Knowledge,"MS Access (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,Yes,No,6.0,K,207,Knowledge,"MS Excel (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,7.0,K,208,Knowledge,"MS Office Basic Computer Literacy (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,5.0,S,209,Situational,"MS Office Basic Computer Literacy (Sim) (New) - Situational. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,Yes,No,4.0,K,210,Knowledge,"MS PowerPoint (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 4.0 mins."
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,Yes,No,4.0,K,211,Knowledge,"MS Word (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 4.0 mins."
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,Yes,No,17.0,K,212,Knowledge,"MuleSoft Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 17.0 mins."
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,Yes,No,20.0,"A, K, S",213,"Abilities, Knowledge, Situational","Multitasking Ability - Abilities, Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 20.0 mins."
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,Yes,No,7.0,K,214,Knowledge,"Networking and Implementation (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,Yes,No,9.0,K,215,Knowledge,"Node.js (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,Yes,No,11.0,K,216,Knowledge,"Nursing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,25.0,P,217,Personality,"Occupational Personality Questionnaire OPQ32r - Personality. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,Yes,No,7.0,K,218,Knowledge,"Operations Management (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,,P,219,Personality,"OPQ Candidate Plus Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,,P,220,Personality,"OPQ Candidate Report 2.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,,P,221,Personality,"OPQ Emotional Intelligence Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,Yes,No,,P,222,Personality,"OPQ Leadership Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,Yes,No,,P,223,Personality,"OPQ Manager Plus Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,,P,224,Personality,"OPQ Manager Plus Report 2.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,Yes,No,,P,225,Personality,"OPQ Maximising your Learning Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,Yes,No,,P,226,Personality,"OPQ MQ Sales Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/,Yes,No,,P,227,Personality,"OPQ Premium Plus Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,Yes,No,,P,228,Personality,"OPQ Premium Plus Report 2.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,Yes,No,,P,229,Personality,"OPQ Profile Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,,P,230,Personality,"OPQ Team Impact Group Development Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,,P,231,Personality,"OPQ Team Impact Individual Development Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,,P,232,Personality,"OPQ Team Impact Selection Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,,P,233,Personality,"OPQ Team Types & Leadership Styles Profile - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,,P,234,Personality,"OPQ Team Types and Leadership Styles Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,,P,235,Personality,"OPQ UCF Development Action Planner Report 1.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,,P,236,Personality,"OPQ UCF Development Action Planner Report 2.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,Yes,No,,P,237,Personality,"OPQ Universal Competency Report 1.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,,P,238,Personality,"OPQ Universal Competency Report 2.0 - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,,P,239,Personality,"OPQ User and Managers Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
